AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMD,AMGN,AMZN,ASML,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CDNS,CERN,CHKP,CMCSA,COST,CSCO,CSX,CTAS,CTSH,CTXS,DLTR,EA,EBAY,EXPE,FAST,FISV,GILD,GOOG,GOOGL,HAS,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,KLAC,LBTYA,LBTYK,LRCX,LULU,MAR,MCHP,MDLZ,MELI,MNST,MSFT,MU,MXIM,MYL,NFLX,NTAP,NTES,NVDA,ORLY,PAYX,PCAR,PEP,QCOM,REGN,ROST,SBUX,SIRI,SNPS,SWKS,TMUS,TTWO,TXN,UAL,ULTA,VRSK,VRSN,VRTX,WBA,WDC,WLTW,WYNN,XEL,XLNX
0.017574933,-0.015512169,-0.012527369,-0.018493338,-0.013372704,-0.001912374,0.019418086,-0.014805727,-0.01224323,-0.015660275,-0.006100158,-0.014444404,0.013646978,-0.001846712,0.008387053,-0.002657575,-0.009276992,-0.011517917,0.00427859,-0.006451635,-0.02390296,-0.024931692,-0.017401908,-0.011602145,-0.01786501,-0.064604164,-0.015498235,-0.024092567,-0.023264747,-0.006464629,0.002326877,-0.045292255,-0.023572088,-0.01257268,-0.013864681,-0.004982345,-0.012345679,-0.012345742,-0.002167639,-0.00751077,-0.004728906,-0.010557,-0.021180822,0.001424359,-0.016203352,-0.005872882,-0.00236272,-0.012262681,0.029156638,0.028489568,-0.001080456,-0.004430387,-0.024362291,-0.00941008,-0.021653815,-0.032068164,-0.003913948,-0.016534735,-0.02961717,0.001589568,-0.02814044,0.000780906,-0.02431733,-0.027802262,-0.004024677,-0.017241806,0.000657279,-0.018657854,-0.006115394,-0.019863668,-0.015907222,-0.01142378,-0.012374515,0.085767571,0,-0.010145555,-0.025317746,-0.022358655,-0.006900762,0.021634563,-0.005457527,0.001430203,-0.012005851,-0.022810938,0.005699529,-0.015691906,0.011266395,-0.04531898,-0.002781747,0.002509311
-0.050010312,-0.017437537,-0.018531909,0.004483271,-0.004497419,-0.016599493,-0.0480834,-0.002133064,-0.016070504,0.013438052,-0.010014975,0.006656158,-0.000904156,-0.02148583,0.001668785,0.000682165,-0.027982962,0.008350453,-0.024004993,-0.009756175,-0.017664493,-0.014057268,-0.031983204,-0.012954815,-0.017772689,-0.04293616,-0.018455128,-0.007662879,-0.002333266,-0.000608272,0.00982951,0.082013056,0.00044992,-0.017090935,-0.027248491,-0.005880661,0.004418063,0.004418129,-0.004971897,-0.002156389,-0.012092458,-0.003987723,-0.04162932,-0.01145038,-0.012246482,-0.014670668,-0.026972287,-0.011501529,-0.01488861,-0.009962723,-0.013879801,-0.001269438,-0.023191151,-0.009866963,-0.018941627,-0.016065827,-0.006639641,-0.019142369,-0.018200705,-0.007972852,-0.015486925,-0.000976296,-0.022402835,-0.011956275,-0.018018342,-0.002902786,-0.007251372,-0.016313122,-0.016437906,-0.005391921,0.022046881,-0.018508731,0.016606713,-0.041965305,0.01085979,-0.014378718,-0.040888898,-0.0377008,-0.015185918,-0.031486859,-0.00498762,0.001784684,0.000832638,-0.022088105,-0.013624257,0.023004627,-0.007982683,-0.041794299,-0.007923764,0.053275666
-0.04112727,-0.050870799,-0.041031368,-0.045766547,-0.023524882,-0.023234004,-0.019173684,-0.013544268,-0.072523561,-0.131784945,-0.000530113,-0.041852534,-0.044383212,-0.020993221,-0.024191846,-0.053860227,-0.002822962,-0.018630444,-0.031591916,-0.024815169,-0.021210487,-0.004830927,-0.009419222,-0.007853947,-0.043030888,-0.027717467,-0.020384675,-0.035450023,-0.033490886,-0.022352945,-0.035728486,-0.023056988,-0.020909774,-0.022310902,-0.019460074,0.006531994,-0.058216387,-0.058216403,-0.025557653,-0.018519002,-0.020251701,-0.028094797,0.006355954,-0.045652044,-0.024287433,0.111336234,-0.021182729,-0.062490601,-0.019352757,-0.018526846,-0.062184614,-0.047140208,-0.024470519,-0.0381781,-0.013188404,-0.012404044,-0.022456033,-0.035615129,-0.070816691,-0.043069906,-0.008958626,-0.00587774,-0.031972145,-0.065303395,-0.035217216,0.000528428,-0.019710173,-0.025393502,-0.009066082,-0.027618415,-0.006524683,-0.013596647,-0.033057546,-0.014387611,-0.014962873,-0.048755704,-0.018534476,-0.008574543,-0.045260136,0.00607443,0.002496894,-0.001070421,-0.029134459,0.007250963,-0.012700244,-0.105875425,-0.017640543,-0.021961967,-0.025113689,-0.057461586
-0.003824131,0.026547342,-0.00641966,0.008965616,0.002425992,-0.014042357,0.010231807,-0.000216517,0.000791499,0.023825578,-0.015849242,-0.009266237,0.017804505,-0.024403702,0.005111858,-0.004182397,-0.007377372,-0.00668242,-0.005531872,-0.003355708,-0.007452945,-0.001514433,0.010044158,0.00837564,0.000869932,0.018637739,-0.001585424,0.002432101,-0.006056885,0.011956358,0.003571432,0.004654001,-0.001839053,0.00211315,0.006094925,-0.008062099,-0.018367276,-0.018367317,0.004146031,0.006029032,-0.007723367,-0.001370775,0.033232549,0.0203836,0.008600705,-0.00542081,0.005260882,0.003234996,0.07801467,0.063395709,0.017346374,-0.033167169,0.002183587,0.008736943,-0.006479345,-0.029304502,-0.004298856,0.012354617,0.02166932,0.009426373,-0.005640229,-0.035196655,0.004861366,0.010987656,0.016867923,0.018838887,-0.004734239,-0.001384032,-0.002652803,0.002775481,0.006907203,0.011794306,-0.022512615,-0.014599179,-0.006875984,0.010086579,-0.003407202,-0.018468749,0.024787306,-0.025298398,-0.015582188,-0.002144466,0.002567392,-0.015566446,0.018717415,0.018242125,0.00185252,-0.005645696,-0.002401994,0.022398538
-0.033109361,0.014034009,-0.006461139,-0.014745786,-0.005101463,-0.015062406,-0.014475645,-0.015050955,0.000790873,0.002475249,0.01549622,-0.00692271,0.002165013,-0.010928953,0.006213359,0.010113466,0.006245918,0.007857072,0.017000409,-0.003367007,-0.004110812,-0.000303229,-0.019552947,0.0065814,-0.003922318,0.007755972,-0.007565296,0.00638422,0.022348627,0.005925056,-0.005361943,0.015913278,0.020046164,-0.011558386,-0.012007567,-0.018547893,0.004471445,0.004471473,-0.004465837,-0.006762291,0.002991082,-0.004674888,0.049811093,-0.01587358,-0.010929132,-0.009080756,-0.000308842,-0.009411263,-0.001572988,0.003185984,0.003147947,-0.001377411,-0.013541444,-0.000378253,0.002524527,-0.025007609,-0.005845842,0.006119997,0.011720965,-0.009426373,0.022925242,0.01655268,-0.000646775,-0.029674032,-0.032172661,-0.003115345,-0.00441648,-0.01197914,0.000331929,-0.000426756,0.004959041,0.018984445,0.006230842,0.043171803,-0.012963191,-0.042466142,-0.018949675,0.00873368,-0.014456053,-0.007012105,0.011584169,0.014209846,0.005115094,-0.012732538,-0.01372859,-0.015301159,-0.009669361,-0.011705099,0.00048041,-0.006584451
-0.038349407,0.009376075,-0.023853249,0.003616555,-0.000974336,0.003684754,0.013876663,0.005260906,0.030364577,0.012285167,0.020294599,0.027000748,0.005852419,0.034367715,-0.019904207,0.011804745,0.010883988,0.014953196,0.005438876,0.010067199,-0.000605862,0.005744476,0.009508788,-0.006929053,0.010858041,0.005284303,0.007961735,0.011346527,-0.002379373,-0.003673474,0.023030189,-0.004163103,-0.002257795,0.002369717,0.010487315,0.068264838,-0.000590088,-0.000590108,0.006691109,-0.011249557,-0.003872527,0.020731839,-0.022605385,0.011929049,-0.000666225,0.011146477,0.013493487,0.005852121,0.000786803,0.005551164,0.015310789,0.001721467,-0.009626267,0.007914028,0.021030884,0.023746731,0.00609913,0.005746497,0.029229638,0.024760459,0.008805781,0.020214681,0.000646775,0.014497215,0.026781756,-0.004952415,0.000340359,0.006425078,0.000663799,0.006589387,0.028139166,0.017761727,-0.005784567,0.041384878,0.003256667,0.014110842,-0.010489634,0.014031531,0.007679199,0.003122563,-0.003009026,0.019214537,0.003819248,-0.000512689,0.014546526,-0.005398583,-0.005245358,-0.001433071,0.006708612,0.010677844
0.056014304,-0.042199818,-0.007572352,-0.020055465,-0.008323493,-0.02818247,0.077227295,0.001310859,-0.033531437,-0.038585994,0.005871003,0.026370199,-0.019851738,-0.010674414,0.017649111,-0.015459659,-0.005802581,-0.028545492,-0.039733715,-0.025360615,-0.02728124,0.011391041,-0.014617191,-0.003133603,-0.027591458,-0.041700768,-0.01036283,-0.033759275,0.017239885,0.003877201,-0.021239678,-0.027062987,-0.020091898,-0.018152033,-0.012906227,-0.011093827,-0.014511814,-0.014511709,0.001586641,-0.011002464,0.022151459,-0.020180723,0.030349858,-0.015936889,-0.01173113,-0.01245902,-0.058646781,-0.048822893,-0.007103384,-0.013535238,-0.062701825,-0.025079684,-0.007842858,-0.00942878,-0.010994672,-0.032831824,-0.01403253,-0.017338731,-0.033475929,-0.015334086,-0.017689792,0.212532268,-0.036547302,-0.018460147,-0.034211893,-0.014210765,-0.006903732,-0.019117921,-0.009164454,-0.153585816,-0.023962285,0.00043465,-0.014834855,0.102654223,-0.018280425,-0.02388179,-0.028522471,-0.005373468,-0.015497257,-0.015711242,-0.031635221,-0.004508397,-0.022703905,-0.009014819,-0.008207877,-0.028958814,-0.016667292,-0.015900112,-0.003827619,-0.019386137
0.032538953,-0.036952757,-0.018101431,-0.007022798,0.002700682,0,0.03915666,0.012368564,-0.034695123,-0.05477249,0.00686353,-0.004931564,-0.021213416,-0.008819374,-0.01937389,-0.014803274,0.008784319,-0.031889396,-0.00308325,-0.005150226,-0.059146274,-0.047926126,0.013354605,0.00139384,-0.002222707,-0.018951411,0.005991821,-0.020404305,-0.027535556,0.008517533,-0.029654154,-0.013376664,-0.012532074,-0.000240867,-0.008401553,0.01586999,-0.00817494,-0.008175003,-0.025530662,0.01341057,-0.099302956,0.010686497,0.029455811,-0.02645138,-0.001687293,-0.020963849,-0.009737434,-0.040991914,0.005135291,0.004399127,-0.011146472,-0.003887618,-0.016635643,-0.022222721,-0.013644642,-0.008379578,-0.012149665,-0.034185388,-0.075090451,-0.03595914,0.016593301,-0.012610782,-0.023410708,0.001830773,-0.044480247,0.001853542,0.004147878,0.022454586,-0.002010719,-0.032386509,0.010179202,-0.002175043,-0.013220754,0.02409819,0.006130696,-0.042428341,0.017921637,0,-0.024150779,-0.032182987,0.005686198,-0.022852041,-0.007392961,-0.006489315,-0.009661929,-0.038471129,0.001908149,0.001779308,-0.003842819,-0.018071658
0.05317476,0.013805633,0.005557316,0.020558761,0.006841049,0.000840252,-0.009108019,0.020914122,0.027532707,0.067382997,0.004095661,-0.053557918,0.02246576,-0.007905243,0.006880706,0.033368671,0.003158349,0.044307039,0.040842581,0.017065261,0.026476868,0.002186445,0.006924729,0.008323444,0.011504991,0.022379426,0.004371009,0.023317168,0.018125825,0.009046197,0.027863643,0.006494936,0.031719315,0.00120451,0.016733107,-0.009575102,0.005795123,0.00579513,0.020733318,0.014874892,-0.050000689,0.014879295,-0.004692641,0.010766997,0.010080879,0.001796867,0.006826118,0.03450379,0.024519594,0.021319402,0.018310836,0.003887618,0.012502719,0.026759599,0.014357471,0.01202358,0.020083065,0.008128611,0.050318048,0.023743393,-0.006052233,-0.01979302,0.033088989,0.005776196,0.073875909,0.011573064,0.01131914,0.002217397,0.017952535,0.014691692,-0.005642294,0.012333963,0.019991077,0.046520016,0.004222432,0.042428341,0.051914697,0.006444705,0.024150779,0.041639322,0.019903672,0.01026,0.012147639,0.024184301,0.009112369,0.044027637,0.006460158,0.057463636,0.0033633,0.016821289
0.062304077,0.005786028,0.015276802,0.009403517,0.00267439,0.005862747,-0.025069378,0.027085072,-0.000799383,-0.00881063,0.008647554,-0.006329402,0.017062518,0.016724617,0.011364176,0.001173878,0.018925673,0.0010768,0.022955783,0.03000225,0.015328075,0.010861332,0.021719949,0.014741234,0.01267744,0.014720914,0.008685626,0.010683565,0.000945052,0.018440158,0.019521472,-0.003892023,-0.00135866,0.033620646,0.013015368,0.015565108,-0.003570923,-0.003570876,0.024387187,0.018064082,0.01963371,0.015718985,0.02783111,0.015182202,0.001670164,0.02089681,-0.006826118,-0.003087514,0.003837257,0.006618673,0.009178337,0.029541679,0.008995447,0.001884086,0.015558984,0.022097452,-0.003830933,0.001758362,0.019439057,0.024283606,0.004405293,0.013346454,0.028161545,0.020402665,0.010207137,0.015825885,0.006459059,0.000277187,0.007386199,-0.012907472,0.05468249,0.007071575,0.009848377,0.033522405,-0.000936815,0.032692511,-0.003378321,0,0.011216382,0.073323351,-0.015275229,-0.015966292,0.009869219,0.028813266,0.010934839,0.019210168,0.020990485,-0.010737799,0.015230873,0.012021051
-0.051646686,0.017059672,0,-0.004690469,-0.009270681,0.002918451,-0.000552029,0.009614393,-0.018556489,-0.012722818,-0.00270496,0.008262377,0.003990771,0.020280686,-0.004530421,0.053896804,-0.006207816,0.01990622,0.020550306,-0.001643386,-0.022173318,0.006460536,-0.019839418,-0.005973085,0.002170111,-0.010622314,-0.005123277,0,0.002593875,0.005681296,0.011648355,0.006478107,0.001811022,0.001628568,0.012635354,-0.021228527,0.018098485,0.018098537,0.003436114,-0.01116122,-0.000785776,0.000528436,-0.028772286,-0.003651938,0.001001075,-0.010032598,0.016497379,0.006508234,-0.004606433,-0.007400229,-0.021448514,-0.008253142,-0.010879748,0.013463511,-0.000702021,0.032748527,-0.003588776,0.005955464,-0.035932009,-0.009312149,-0.01049449,0.001615542,0.001613045,0.016787129,0.008328675,0.002057136,-0.001016947,-0.006945528,0.002286666,0.009380629,0.022948933,-0.013544061,-0.000891787,-0.056512531,0.002807676,0.006557448,0.028358821,0.027456846,-0.004730193,-0.026589454,-0.01916662,0.00107255,-0.005136991,-0.006442093,-0.06052255,0.000494098,0.016918126,-0.009296936,-0.011879267,0.009840299
-0.030495625,-0.036703777,-0.022693337,-0.042481288,-0.010347057,-0.045568837,-0.034835038,-0.022648652,-0.039872257,-0.082713792,-0.026416697,-0.026890626,-0.050583987,-0.029100059,-0.022963125,-0.020031255,-0.027856956,-0.041715571,-0.038577543,-0.052332615,-0.0192351,-0.004302404,-0.028582599,0.001710217,0.003893301,-0.038921318,-0.019952785,-0.046446214,-0.025764709,-0.041888912,-0.016934711,-0.034153877,-0.032638974,-0.020667636,-0.027836515,-0.022764485,-0.026303463,-0.026303546,-0.025581795,-0.026599731,-0.007694622,-0.033036415,-0.059154422,-0.03411161,-0.024642706,-0.033793617,-0.028638381,-0.034031677,-0.042041213,-0.035412493,-0.029333224,-0.060862046,-0.029475828,-0.036698081,-0.003165139,-0.109577387,-0.023646731,-0.027980888,-0.046520016,-0.042727231,-0.012852873,-0.026332374,-0.037108266,-0.033861093,-0.059810659,-0.016837621,-0.017106036,-0.036625916,-0.027290166,-0.037536421,-0.111389942,-0.02188281,-0.028030563,-0.011696355,-0.016490409,-0.027984294,-0.045424092,-0.037139547,-0.026644983,-0.077799716,-0.059807737,-0.008611479,-0.01122151,-0.046034881,-0.034379777,-0.044698887,0.029112388,-0.054378511,-0.033538892,-0.051486885
