series1,series2,log,i1test,urtest,alpha,alpha.se,beta,beta.se,rho,rho.raw,rho.se,s1.i1.stat,s1.i1.p,s2.i1.stat,s2.i1.p,r.stat,r.p,eps.ljungbox.stat,eps.ljungbox.p,s1.dsd,s2.dsd,residuals.sd,eps.sd,is.cointegrated
AIZ,AMCR,FALSE,pp,pp,4.70562375329501,0.0933088603098386,0.0585352388895309,0.00100831159502361,0.98736670307887,0.982158807658578,0.00517983961471468,-20.3208540945448,0.0673724891302988,-20.9304745811488,0.0584096518128911,-21.2715318825017,0.046001802741504,0.686581107149581,0.407329713050508,0.919133003787718,0.107965053041587,0.642227885223839,0.120863270301829,TRUE
ALB,AMCR,FALSE,pp,pp,5.74844630867597,0.0820220481773777,0.0418591547264476,0.000749372431487102,0.986360505290934,0.981156271530017,0.00500412242294067,-5.15006149371775,0.822464289671475,-20.9304745811488,0.0584096518128911,-22.3525139402889,0.037773269291455,2.09442183119837,0.147837628409148,1.32174782871947,0.107965053041587,0.660060852175835,0.119987385778886,TRUE
ALL,AMCR,FALSE,pp,pp,4.40318903149658,0.0880779547692647,0.0691903752792592,0.00101911135216663,0.984256958108793,0.979060379376891,0.00570665376210555,-7.07338911516069,0.715177378301109,-20.9304745811488,0.0584096518128911,-24.4450071079588,0.0236475977455205,1.56773547732809,0.210536182273925,0.662336131082904,0.107965053041587,0.571156242966412,0.11830548167043,TRUE
AMAT,AMCR,FALSE,pp,pp,6.65813251973334,0.0713704655779563,0.0826653634396411,0.001405935480513,0.987930549668016,0.982720602350797,0.00518147767487563,-3.5638998247222,0.908837048956558,-20.9304745811488,0.0584096518128911,-22.0048965229951,0.0404193645947175,1.24231852290756,0.265024685361144,0.537600808767161,0.107965053041587,0.636349404996499,0.119615673816325,TRUE
ALB,AMD,FALSE,pp,pp,-5.14339824467065,0.192150581818443,0.153622915154352,0.00170625595118413,0.98688319470615,0.981677058823583,0.00527231030580666,-5.15006149371775,0.822464289671475,-6.03164019638973,0.773288135237312,-25.7352208688992,0.0194395773895141,2.39208378640263,0.12195097586994,1.32174782871947,0.251166514161363,1.50290124088729,0.287772938166346,TRUE
A,AMT,FALSE,pp,pp,13.3886868922575,0.975265837386248,1.87888015508574,0.017097388437668,0.988812988362427,0.983599829758165,0.00495979359704408,-5.99914868606523,0.775100574132074,-13.7327389327209,0.34370604617058,-21.653941803704,0.0430908637434183,3.94098186578532,0.047123265612683,0.578186173236103,1.12768519376864,6.87539130490249,1.2389020059459,TRUE
ADSK,AMT,FALSE,pp,pp,39.7678933854359,0.872961718475981,0.82384015084471,0.00738675083156409,0.983591058074994,0.978396902623218,0.005709642827771,-8.06901770893302,0.659639301736849,-13.7327389327209,0.34370604617058,-27.4420596002434,0.0138727385110622,1.05839773888934,0.303580908190866,1.43518273521945,1.12768519376864,6.78423066514758,1.40707023998301,TRUE
ALL,AMT,FALSE,pp,pp,8.39237561381337,0.893845531096489,1.36962865088138,0.0103042112461855,0.981958429285027,0.976770215140801,0.00575072760340528,-7.07338911516069,0.715177378301109,-13.7327389327209,0.34370604617058,-31.2345533188433,0.00860228337941977,0.154953192216285,0.693846148421803,0.662336131082904,1.12768519376864,5.77494752618681,1.20596377154954,TRUE
AMCR,AMT,FALSE,pp,pp,-50.0086668821041,2.08563663690872,16.4904958790878,0.205226464396017,0.980595697626627,0.975412442605958,0.00641466434289911,-20.9304745811488,0.0584096518128911,-13.7327389327209,0.34370604617058,-27.828574387412,0.0126121240752669,2.73857597850089,0.0979520195303452,0.107965053041587,1.12768519376864,9.02447292849689,2.09560056222946,TRUE
ALGN,ANSS,FALSE,pp,pp,63.3150194066607,0.658047498936866,0.363484714666441,0.00220299865842182,0.971585765082948,0.966435298152618,0.00706157213157984,-1.2157465044547,0.984006936017463,-3.61855984188241,0.906374886021413,-38.0637184664583,0.00493408187335415,0.177064534573767,0.673908165052456,2.46547916864556,1.29143882848815,4.79837559187972,1.230755348036,TRUE
AAPL,ANTM,FALSE,pp,pp,-7.82932287440417,1.4755907545477,1.31802372096605,0.00836930909945847,0.973992254682649,0.968833030284046,0.00649407366586486,-9.10018066297438,0.602119050259546,-6.38755969589837,0.753434261475482,-42.0447413257167,0.00279572473417828,0.0468797895723366,0.828584454454333,1.52255902318702,1.87923846851221,9.90252133557389,2.33544657827399,TRUE
